amfi_code,Tracking_Error
100016,8049.242113016133
100025,8049.253317855315
100033,8049.161900571062
101206,8049.227474180109
101207,8049.307407752765
101208,8049.281546786864
102885,8049.236309949937
102886,8049.484217578663
102887,8049.295143587261
118632,8049.315784667758
118633,8049.271650489418
118634,8049.336536463632
118635,8049.307214515266
118636,8049.245072676614
119092,8049.219958591498
119093,8049.220252766678
119094,8049.29459851028
119095,8049.520405838876
119120,8049.289555753691
119551,8049.249355958469
119552,8049.18530268982
119598,8049.13015181191
119599,8049.167579491273
120503,8049.351991887228
120504,8049.219009602022
120505,8049.32345886249
120506,8049.311797425435
120507,8049.2837556306795
120841,8049.198487796292
120842,8049.273524963066
120843,8049.110392599929
120844,8049.278983626664
125497,8049.186726400801
125498,8049.228971256582
148567,8049.326114872803
148568,8049.372854801524
148569,8049.517223298054
149322,8049.346729135009
149323,8049.20183228818
149324,8049.119338516501
